Serum,001428_2_42,00836_2_5,16055_2_3,16936_2_21,246_F3_C10_2,25710_2_43,25711_2_4,25925_2_22,398_F1_F6_20,620345_C1,6535_3,703010217_B6,92BR020,92RW009,92RW020_2,92TH021,93IN905,94UG103,AC10_29,BAL_01,BG505_W6M_A5_T332N,BJ613_E1,BJOX002000_03_2,CAAN5342,CAP210_E8,CAP244_D3,CAP256_SU,CAP45_G3,CE1176_A3,CH119_10,CNE55,CNE8,DU156_12,DU172_17,DU422_1,JRCSF,JRFL,PVO_4,Q168_A2,Q23_17,Q259_17,Q461_E2,Q769_D22,Q842_D12,QH0692_42,R1166_C1,REJO4541_67,RHPA4259_7,SC422_8,SF162,T250_4,T251_18,T278_50,THRO4156,TRJO4551_58,TRO_11,UG024_2,UG037_8,WITO4160_33,X1632_S2_B10,X2278_C2_B6,YU2,ZA012_29,ZM109_32,ZM109_4,ZM135_10A,ZM197_7,ZM214_15,ZM233_6,ZM249_1,ZM53_12
Polyclonal AIIMS_329 102-months,2.658760421715632,2.28661764189697,2.828944962814571,2.308852966303382,2.7702196312002147,3.0675781996268094,3.095128988161438,2.1244698410556566,2.144672681024133,1.735277198781426,2.927972059078636,1.4933292379256167,2.2239077779315437,1.9920939749058382,2.634780855019903,1.7489840933889618,2.872545892277053,2.0539652948560017,1.8423605517624877,2.9579903834436445,2.3895881827559773,1.921658807131378,2.3068954583421686,2.541185554754575,1.493867939078817,1.790428074294488,2.418326149333585,2.2661091005391336,2.6816584021025838,2.199849285918539,2.9605977751893375,2.525059652057483,2.875476387263528,2.7379510331981747,1.874719202979825,2.317735533154093,2.305040146156725,1.9899678179217757,2.0884267056207673,2.148677906432385,1.6903377154528694,1.962650773011013,1.7665857421742739,1.984699749721038,2.383291149183437,1.8489174166450522,1.7843534975459279,2.1719786818926994,2.5906542229236607,3.2020436409402606,2.520211547350972,1.898978062402045,2.00228595038808,1.838436094748193,1.7897915532462654,2.6808557317130264,2.04528752900893,2.3677055444677926,1.6093637428925645,1.4690338417434095,1.5241589134706715,1.5992933544790564,2.5130024565350317,2.4103190331431392,1.3646343270172219,1.5612850578869173,2.1954995307314067,1.420365174435256,1.6600596777399947,2.273774666551269,2.274034586315841
Polyclonal AIIMS_329 112-months,2.450652584285818,2.0492656762208945,2.441076905216146,2.241205809828535,2.5901760408438683,2.5242883323972363,2.7019177523869997,2.4504768601424667,1.5245451621405113,2.0299014336220984,2.746228129161781,1.4497691055261284,2.0519067958219095,1.8623234862950448,2.430051098855575,1.6447781318318575,2.3870689200604565,2.1142256255743517,1.5765120585334111,2.8266464154630357,2.3476873433497047,1.986845134666556,1.544709909862485,2.2899445940951164,1.4022281363393634,1.5108857462075802,2.4795609859499352,2.123282345039181,2.1829788688492826,1.9109881361610561,1.5748604684641023,1.524805766692742,2.828652413214713,2.6615859517783873,2.0331985211257546,2.3402086707014575,2.1461224461038526,1.490486343081471,2.1817133633422445,2.237598760786474,1.5895743110184446,1.730538248370644,1.3873209873919907,1.603636341645557,1.993670040773058,1.6823599924580037,1.4928155776476741,2.083731331336604,2.4128480188216934,2.9239974908482624,2.4711419559084504,1.6484651182181889,1.8846804677721756,1.4211432351090112,1.8089575465564702,2.1127664183148225,1.4941730995148652,2.3481761004063446,1.768723006599378,1.4556159345690909,1.462368345216699,1.4228209610145508,2.3704623112114267,2.293621778423843,1.4042238808454028,1.3487655523343873,2.4136098608098013,1.421512352369318,1.9730229369760437,2.4081542409758203,2.3307248290391245
Polyclonal AIIMS_329 117-months,2.314840227036539,1.7619857666318146,2.112820948447181,2.053965020895554,2.523339444013022,2.47818676139469,2.21236477058375,2.0061371560928425,1.4461407308749625,1.2182027058837896,2.6656046169250773,1.9449482230662278,1.4811829498270634,1.3346146091737356,1.8137195827127743,1.0858783887908503,1.9338486081419468,1.4951001408022666,1.132340735137476,3.019919465395277,2.1283343788345066,1.9845953442528992,2.157354935951406,2.18543212198116,1.4060833015926324,1.1283811660307759,2.4508098237476057,2.4174023784291334,2.0367390995054544,1.4641345593774555,1.9371834148002876,1.494055857869318,2.356803194356239,1.4501677436311486,1.7735364624412167,1.4559359970977461,1.463419098396817,1.9897013494006859,2.2507270248702675,1.6959524339674932,1.561393321169692,1.5552614136435938,1.3201774090746383,1.6710172741883067,1.3995451088046287,1.5173750415842902,1.2014583674628088,2.271778579320732,2.1666803305467273,3.266560036184684,1.83630261146819,1.0516023328745603,1.4355139992561885,1.354679170376893,1.4634229504259746,1.9121705627647725,1.2866045703202889,1.784477567047164,1.2549165420174018,1.4520688365401393,1.8822376136320225,1.24151247251686,1.802927281241231,2.0607869813939397,1.564824367281312,1.1555583989980878,1.5376382473770254,1.4668472062133657,1.9010618695592036,1.4780943689986397,2.740086973534331
Polyclonal AIIMS_329 124-months,1.9189854253786278,1.4867881843163555,2.0500248528865557,2.0777522033509497,2.6373653241443478,2.5801861180023535,2.475940552484701,1.4804656186054561,1.48390492514937,1.444519374077303,2.4824462698436562,1.4721124337186358,1.6529616591025098,1.3577590737139813,2.120193028682425,1.2169104194637004,1.9571128162885705,1.733305059012189,1.1227434696719836,3.229461221383243,1.9636553212807368,1.8810381688788658,2.4422370756453993,2.1347053868939874,1.4481439118952573,1.1574175366205668,2.2986291041024964,2.6236650971852997,2.097267020660219,1.8114429874382911,1.929316764778505,1.8342878187598417,2.2170110797165585,1.5133399486567751,1.918277786563047,1.433583873614593,1.4293897593205265,1.8861177073103996,1.9894186143188546,1.749121045266565,1.630142523040634,1.510225883425635,1.28654164103119,1.4802809949523854,1.425228772892563,1.650444088924209,1.0896007632446116,2.241472306208766,1.537260962475008,3.7207564841247063,1.8378035981967749,1.1245872991807107,1.5801251647830155,1.352432767323781,1.4674776171563626,2.082196385440433,1.4436364392961503,1.932808259656747,1.3431570573985225,1.386097359096564,1.4794845873883467,1.2336290559723373,1.938686957593862,1.8571256558745601,1.6980038591835196,1.2867124260285006,1.4691580647404132,1.3753117627499059,1.9008796764134466,1.3907080814708812,2.7993821212509973
Polyclonal AIIMS_329 131-months,1.8418142644938715,1.4283796269905054,1.9692209912122784,2.0201965584881805,2.282322895462845,2.6230918971515402,2.5728547079846917,1.5099966102166578,1.8533264486590142,1.5671272686064481,2.4272176858236696,1.4340194351901494,1.5423378660020357,1.2537448408849898,1.9746417119734243,1.369211678336776,1.9027544754179009,1.6639542067957271,1.3479161293864954,2.7341821352799665,1.5677066171742304,1.5211859720555725,2.263627006709524,1.8048150860121381,1.8471821742800414,1.2793505719462224,2.128520154410036,2.2170211757358222,1.5801496878759627,1.4748062533981554,1.8952454980512257,1.7734701647586606,1.955233596384743,1.8753474543091777,1.567427315187243,1.4698439816548872,1.449559182363418,2.1725085175528207,1.917750289093685,1.586294622690642,1.356205924183902,1.5813649348182672,1.3561768196625208,1.216359139372861,1.4289868102249779,1.792120186342564,1.3497663153355415,1.9855589476189814,1.8040150881722399,3.1441368415651043,1.9763813831091803,1.5141022253389447,1.7949598978039705,1.3998223008221298,1.8153423166068468,1.9112207358985065,1.455965598786403,1.8941420429318538,1.3515295248116415,1.3712063778854544,1.8941057014444398,1.4293226139550084,1.6678338206189178,1.837075033533479,1.6040706344060782,1.3319040509490172,1.3982432745438798,1.4382912066707163,1.742595390773494,1.374083952138615,2.519539617639434
Polyclonal AIIMS_329 138-months,2.131260228017168,1.46682938150886,1.9365598544450129,2.090908585228359,2.407528255561254,2.800270822004072,2.770229259624066,2.081854053231326,1.5518287840597578,1.5579818894406343,2.643641386346741,1.8507376214324696,1.7795891712024614,1.3788276238395771,2.268774176902908,1.4107553767551249,2.029930540671838,1.7921278655157313,1.4214537787715724,3.18512619009394,2.2470404663810335,1.547273592126753,2.455983814206436,2.0214437025242082,1.803460356078708,1.4774254967497846,2.4656091043534363,2.731468896531303,1.9931219738465467,1.8436353537754016,1.9086720344284962,2.0642348396355183,2.192828712747019,2.336634394122893,2.060628915535472,1.4240673538471917,1.792365500112616,2.4911228808840145,2.038130446831662,1.7297695355172684,1.5947431796460094,1.9942584510529757,1.5509958582705003,1.7832108455679097,1.8275294527136354,1.817216923828372,1.407076238227622,2.0191606260881168,2.1008892013380738,3.5986331412750507,2.1258106997631194,1.5326394425579926,2.010390553469862,1.4316116897552322,1.872965392965515,2.1744675829320843,1.568099298958022,2.0952173138619936,1.3429612128624189,1.4337272193101998,1.9711084955585687,1.4013220791532128,1.8389014507924808,2.1654455208862373,1.6696462830852712,1.470397007939734,1.4983109626063116,2.0790392317596265,1.9526144583367044,1.4345281444871438,3.0296507893616207
Polyclonal AIIMS_329 78-months,2.7666667729988195,2.2747645780064776,3.012151332952401,2.3392062247683745,2.5206729580923484,3.0739148276503965,3.0320337480619095,1.9960426929925958,2.33912495935781,1.4692443287657533,2.731840343873075,1.537931002990912,2.158623158172597,1.8325627238951814,2.643782880428459,1.5036402578887822,2.6067360633060925,2.078276380237254,1.6716092254912827,2.9382395367642804,2.3529446234959392,1.8541546072109885,2.3843603172350023,2.46508062524231,1.840569523008195,1.7058311902899526,2.2786038899339314,2.2372691971303107,2.788427527091083,2.094325082300964,2.249434757159687,2.5139765328373462,2.848027757865035,2.6709227666108246,1.8102558296439004,2.1949282657423055,2.295753316363936,1.996747383540458,1.8803112070575319,2.176926697418134,1.6887567957015994,1.897565203473795,1.8221065762675188,2.1645849146953413,2.251431401474161,1.7159670404811216,1.6971468665857403,2.029001260839303,2.53119641107458,3.188392306525145,2.3982088365846157,1.6484089846863648,1.8345056222742115,1.4400275351283667,1.8756464763502418,2.703602211969149,2.0652360324625145,2.347688081322408,1.5278689063303705,1.8422590654345428,2.013322612538523,1.45671636667484,2.372602276677378,2.30199872670856,1.3853499622942353,1.5515051023123458,1.9378770572576498,1.3967684965083533,1.6120465401029522,1.559635571850147,2.288236877103186
Polyclonal AIIMS_329 82-months,2.872600940633892,2.341311234533688,3.0288555013593044,2.342804777815056,2.6112364926787004,3.064975838387004,2.9926253818137,2.0305494265633,2.3065140157163047,1.4898545622188233,2.7813070133797737,1.7745528307853256,2.155477319335409,1.9764271058590321,2.5939896614821407,1.3907814240433778,2.6141008686183973,2.0421900697120083,1.7106987884047964,3.0198221124176294,2.482830218676603,1.9722675601815476,2.3981021952771924,2.52530228441604,1.4290576433015494,1.7061404207858522,2.377371929980736,2.215808917512824,2.773801704364847,2.1107693190987975,2.4006703875706625,2.3988643513591486,2.91210098177293,2.6328036401502253,1.8401067657597177,2.2315205520756027,2.2951842313812723,1.9530915349784412,1.9884982802305484,2.2557443834630533,1.6506607006135368,1.8060681088949948,1.7072725822300285,2.058152982854314,2.3109945933968463,1.7009295377283054,1.6485755553848864,2.080687949299505,2.583322407241842,3.217048365440249,2.4179046810749907,1.5854858624553232,1.7623069301177512,1.3837238631083701,1.5553998922288605,2.74919591644064,2.0635772147713585,2.322458838561016,1.5125523306436182,1.834951066625768,2.0185140817733602,1.4752916646385046,2.4555847130513158,2.410593428472335,1.4064490094171775,1.4915667533589896,2.0835574827322185,1.474165161747206,1.5030124719600033,1.8233806501575827,2.220121632444994
Polyclonal AIIMS_329 90-months,2.779702060764796,2.3864299111059366,3.0782007394456414,2.450471988682918,2.777550589043835,3.306188365118391,3.2246033553313893,2.0053027063396938,2.334333965667179,1.4486698946963963,2.8747990106181627,1.4509606243128381,2.1610349781622045,1.8096712654154268,2.633975494859989,1.3446207684952145,2.63596378799778,2.0660440910828486,1.8841844475962775,2.979733280856517,2.483958079741647,1.9352662010513175,2.620668712745924,2.5532767681891637,1.8656611591738443,1.8791798202066818,2.3778519098511133,2.257056105911709,2.9385648156614304,2.386097160640543,3.210811564795746,2.776025878938417,2.916072782180744,2.645234771202107,1.807742577161392,2.2165408003238896,2.3504519672799846,1.8870899524549019,2.096219692015815,2.2134016276201764,1.7235326802698092,1.9997383979867303,1.8638073369715762,2.3422513113407635,2.459708049404372,1.7772229456574713,1.8391269939733352,2.115929573257924,2.616744142499619,3.2828762817660992,2.4277777027733114,1.8320687891164313,1.8817919640270426,1.4723956618089866,1.4805822713086019,2.813118503416189,2.185360269935539,2.3608771483613222,1.4726703954043903,1.47812970015011,1.5349697327361955,1.5001815779583574,2.3402856592371792,2.436740497414189,1.4717643501353068,1.5078947348001344,2.150228543977911,1.4924570365730812,1.6572259784720678,2.270113919300389,2.3275812778154945
Polyclonal AIIMS_330 102-months,2.9617750706735837,2.041787859285172,3.0755888342110334,2.644524722526447,2.5231779735508217,2.8490452450190027,2.725232732685946,2.9546112796592263,2.8434280684091338,1.7955896183949265,2.8794799170147094,2.846869950638866,2.2783008228419286,1.8513461242000875,2.689695553361135,2.0584569231199774,2.7526450717340474,2.0434245678728065,1.7280649150219087,3.380432714469098,2.6187014743834895,2.935646747015542,2.6522972170025056,2.824341038050826,1.4358030439284242,1.8392801919624413,2.5250884696511986,1.5246422153938912,2.522282031347058,2.390065633422088,2.8440304587672864,2.3246721459349557,2.9206739077608903,2.232946579346706,2.5733338386488276,2.349367763290155,2.368374854920583,2.6625513433683654,2.6013407156184587,2.23557199182949,1.778011991297489,2.518065509394076,1.7848244387453944,2.301230703478264,1.9037899394324826,2.4125332254007485,1.7548489201289925,2.934473228682249,2.359896399441154,3.3209775486884388,2.3731782663264345,1.9170432897317093,2.1681448833996577,1.8800510761266909,2.45179231992916,2.6913368117862317,1.5515143095306936,2.5303939780247537,1.4335288047641446,2.48664177881244,2.8349085328341515,1.8086824564191621,2.3938013122309565,2.6426262171636123,2.09873357617412,1.3583572335850964,2.615076163365437,2.4944125662546313,2.033356902619934,1.5100536757317795,2.816092902213902
Polyclonal AIIMS_330 112-months,3.37015953025782,2.582555977851972,3.3683274568796824,3.044203250320626,2.734355139810094,3.355701339919821,2.9040553905733137,3.4039448866150286,3.173137793634429,1.6069174749568873,3.0923603717876125,2.9742791358980094,2.4146729562898264,2.0044317586468257,2.8917958975432256,2.3876961152236733,3.2345253586685203,2.375037488555692,1.656215989537547,3.5439764084457197,2.7412587378278177,3.2316248226153794,2.83475419966625,2.4699476062482577,1.3567374350813037,1.8741474970460072,2.8993431417764626,1.4955242715032526,2.689289369613139,2.598222103006588,3.176043755832678,2.5601917167086654,3.473532660823264,2.3969728954215013,2.624275239309844,3.1638197241964585,2.8759542168125654,2.790436915010642,2.979939069266959,2.8706599132886064,1.7523945414196802,2.595476189035301,1.9162536428411383,2.929439144221705,1.608087009907994,2.345822785237041,1.900782621025043,3.2342136922578737,2.970615802597065,3.603587310209904,2.6762084752213076,1.751809968360694,1.8322805282790793,1.8994146119118853,2.5915110685574927,3.0268421977683104,1.7530337136202336,2.826919037607891,1.502053776403749,2.6454499870529267,3.2086404451652983,1.939039779436642,2.712163004407241,2.9429834011167575,2.1545237010205693,1.0881557218813738,2.8852051568811534,2.6896203716400526,2.0872210793512007,2.3661187442740044,2.3987886762868253
Polyclonal AIIMS_330 117-months,3.3019274446169335,2.4661087473632683,3.2480183639158815,3.040285876464093,2.8616822380204505,3.354229000590906,3.0831358430198046,3.26555787953654,3.1646559691383365,2.0347076217537228,3.022554737212884,3.010202841436991,2.453610821118551,2.186786437916142,3.0773024920066314,2.3630463130735517,3.212864376119592,2.551296468571029,2.0301281525331705,3.7898278532667566,3.0870455563103505,3.19215159312457,2.997367336978911,2.6446197763743617,1.518743300711408,2.1488090265831348,3.0272183876300387,2.3834435812507415,2.762187018576374,2.6135025047862985,3.20121832887488,2.6097674405044655,3.3514777332329686,2.724116446324045,2.837830684865943,2.8498260802097732,2.616246432648005,2.96615452275884,2.925154937572607,2.852558009604201,1.9414775600909668,2.782003318783392,2.056393903989152,2.6851847489688287,2.4510362693309986,2.7213418361894917,2.0157445415878645,3.1294679466527056,2.9442206013120895,3.9765605204519154,2.7933933779002738,2.080235221576883,2.3246868640967446,2.0883203358730373,2.7026397686239694,3.2058745635253425,2.2970374543182697,2.947136171497787,1.7860575709972264,2.553879119193797,3.1352138421550606,2.043799857131254,2.657688101605026,2.9826400598965623,2.4902554542719164,1.6822090186310732,2.989898412438122,2.7498328249793866,2.169386578122005,2.236675022846148,2.9284570786384716
Polyclonal AIIMS_330 124-months,3.2508111822887518,2.5076008176178304,3.1528094563711058,3.0465566116768326,2.9675819702972817,3.2666551615107116,3.1721483944792004,2.822982528458187,3.2529331500355507,1.924398978080013,3.0600114778284793,2.9276778797252705,2.4095304902538275,1.9493790035261163,3.0581337859292326,2.2423876015348414,3.1949273310496595,2.439301171686206,1.9003497571236898,3.800256390580347,3.208364708732522,3.142928251620808,3.107225189009366,2.750114826210152,2.07069648582517,2.117481358958284,3.0841418110895438,2.2067423010995726,2.837576274057474,2.573179386063096,3.2453956562497677,2.6757691131770587,3.1374322496600024,2.760090779268193,2.651861947759377,2.756319455445146,2.582444217650706,3.0444596836282,2.869704468140733,2.6531074349715738,1.7663455781583166,2.7581503111507804,2.0683407931125712,2.6841487246540225,2.5450659373171707,2.644735443672344,1.988825325541358,3.186853529052268,2.975663015574529,4.231700941902875,2.6903580973607024,2.080529785777394,2.352225227718943,2.259506877120014,2.5821836007417076,3.2049539814586385,2.1028486099683503,2.9157368317834322,1.6958730625101095,2.378313390267058,3.0508262922867857,1.9758061395610438,2.6256778044414633,3.01195155636833,2.381857914567935,1.5625479206608204,2.9048528342722513,2.6730751987698484,2.216545949964658,2.4535468778558363,3.104676751120043
Polyclonal AIIMS_330 131-months,3.274894130030744,2.590846689930726,3.087436544479787,2.941310630778168,2.7901151470455945,3.2035458801568506,2.7238724558074816,2.581002790519628,2.984067698143421,1.6694836645049522,3.155002401454107,2.931468487047911,2.4588020479245443,2.0260656927716463,3.0502618181515526,2.4568195436692717,3.1555619703457136,2.6921890507941377,1.9255208535701631,3.7448597284080725,3.0918873782338157,2.9906097226213344,2.8120350872537685,2.6584567701874073,1.8538040099521707,2.057485269694521,2.960109737741954,3.1670660009433886,2.6578035008157626,2.4306140939925407,3.3020466547860634,2.363327363115296,3.062810139507638,2.2233237746290526,2.5446350371161612,2.869771357190115,2.640431901738957,2.39619317297609,2.901838116553191,3.1352809735773386,1.750023465055642,2.6349157435603727,2.0248955438047966,2.9511294525199485,2.5091710806446565,2.49964234255303,1.9973723639417875,2.9780908597346967,2.564290953014348,4.112797765066071,2.9069441174123645,1.7926566191520565,1.9402599941574088,1.9707999310710955,2.5393124334369688,3.013468175646566,2.588107879248075,2.7929459210018717,1.7992743559896776,2.2242242262299214,3.217878137163127,1.8577765910203743,2.5126062825714155,2.6761217645904916,2.471593667593561,1.5890042344682036,2.7808774630713087,2.9007695088174463,2.1865459895481902,2.5423273801580373,2.787917651666744
Polyclonal AIIMS_330 138-months,3.191583106829963,2.4072104167404227,3.1604531792736044,2.904112701104763,2.911824307462944,3.3124310853838095,3.162876204135169,2.729798542751455,3.229379322626227,1.9972389168060989,3.1973375700488154,2.9561940752782396,2.526875375714992,2.1849959240881,3.024052749935654,2.379438805560017,3.1993745290210915,2.4373151169396916,1.9868440896598167,3.648456440076747,2.94724422251375,2.90868924456465,2.9092281076619644,2.934416336216427,2.191659955764492,2.2020142225954773,2.9479810012401453,2.855308538929119,2.806642206806721,2.5084785660115037,3.419084318675618,2.5386443747717697,2.945530645385083,2.8584868692698633,2.6990214568942266,2.755403419010915,2.648315330246964,3.0513202704401916,2.9005164104597885,2.7905981108858473,1.7979253608543668,2.8516852282254934,2.172652741293593,2.8155755841931907,2.495828902285166,2.6909097702468845,2.0809507892828645,3.157911473694372,2.720516908809933,3.787310423615475,2.9632177731292355,2.200666210466035,2.4176989631758063,2.156698766203479,2.4855177592023883,3.2061640173959756,2.21490549537023,2.845033416397502,1.8236716760612752,2.2560400143466,3.1721096433161344,2.0327965376940083,2.6116428484005354,2.980053434576301,2.3149921131054034,1.7079044015264446,2.870262560735309,2.98935288813791,2.267934248340613,2.4259264145588952,3.069214819304576
Polyclonal AIIMS_330 78-months,2.7519581279519256,1.9038430951423753,2.9945642906928365,2.560515922905303,2.1539834207708317,2.712927233570565,2.687104267550904,2.7995875906062144,2.5078246888857567,1.3120984600487136,2.6529513591136418,2.5081012525552513,2.0586478470167453,1.5957124508505842,2.5279704992401895,1.5205805097683744,2.6196196900111017,1.742243235308231,1.552671220438168,3.017225610691856,2.392856413684565,2.796274554643981,2.495675302445232,2.743358175109009,1.4095632521298358,1.6204973531760296,2.37005556038049,1.424407614101313,2.2299945990189443,1.5010305830837258,2.5720211407484213,1.8638044752372318,2.493257009035492,2.0634954442576845,2.0361853110550125,2.2058066732055686,2.1983583726219873,1.601073773728952,2.4343838619462366,1.8191113990997259,1.6237571205526846,2.0823846876857823,1.6345677933303344,1.982581302171585,1.465211564119775,2.126016066841066,1.5370682061581484,2.885326496138287,2.066218476634771,3.173310313002819,1.89089560176673,1.6101983511081215,1.8626692050779357,1.4190162591691489,2.2851705674075697,2.451354349699219,1.6858608917211728,2.2383464387938825,1.0141964744192555,1.8284467878196344,2.5185458539383587,1.3468514491876418,2.273294372372355,2.4433450297715065,2.1220920906035214,1.2364822676711609,2.4722684818576224,1.8687926121607514,1.6292584172962512,1.417197838411506,2.7435921134399415
Polyclonal AIIMS_330 82-months,2.786307461484128,1.9364867499596428,3.0113626695576032,2.529865864277256,2.27747777470639,2.731601350953551,2.7778294242549304,2.8034492980513637,2.544656799119285,1.3158442422375207,2.727994529277436,2.517510216242079,2.140608298561059,1.5947339942117933,2.6306480341178347,1.4795639301607197,2.6081722012579895,1.7561781803803158,1.4025638706058943,3.1260212016655897,2.4395341121092864,2.8212080784318987,2.5223862585140244,2.803043215589896,1.4148872244925261,1.5739605582996241,2.4219734813990064,1.4259246833745354,2.388540857853214,1.6205554696810915,2.625614964055287,1.9570610728576732,2.465660119834866,2.155515137764349,2.1347673945562553,2.2223079589349277,2.2397510116231114,1.9271745032738978,2.46983827719548,1.7755695712882915,1.647161867771904,2.147536610827594,1.6825108387529966,2.1089860779199654,1.5070418018556686,2.0599232923928295,1.4806294834680989,2.9518008981313146,2.1173349722307595,3.2261505854344934,1.8872332274903565,1.5817512354856942,1.8875170241064405,1.4393496396918293,2.310142757153364,2.526044813130879,1.4736223598710807,2.3366767512364577,1.0157411168754125,1.8856384819408183,2.420483566995385,1.3782655768993797,2.3914899204181186,2.532677321816222,1.9919741582588817,1.2119597407617382,2.473016870393442,1.8957765820047083,1.708232433886364,1.4231735905688137,2.8252458879059468
Polyclonal AIIMS_330 90-months,2.8400704185668975,1.9029671765612137,3.015758580689109,2.581281991745473,2.419513967773936,2.742772452446105,2.766623951584462,2.845773713834716,2.7092625433395323,1.6415180100477014,2.838781487453221,2.6498514568302136,2.227761776976016,1.585634585354985,2.743235965944762,1.6507777952216938,2.433112806486151,2.0202758221357255,1.628293487382079,3.2531677289227288,2.5226818742029815,2.841860854633767,2.4780611124788257,2.820799621588889,1.435839356445817,1.7365942798834644,2.4451490755745935,1.4573199418883158,2.3672836419012686,2.1332976452503223,2.696766523811851,2.062047288568454,2.4670464415846016,2.2660807418386986,2.3200074405546527,2.2540992033738547,2.2781218528790887,2.422292544338762,2.493638310129081,2.0168201396409735,1.6847824448747466,2.378826403274368,1.7591678960993535,2.1573493063044276,1.930685387768602,2.312100105087433,1.6977210004407168,2.9287810127696323,2.165991413762974,3.2567589153987413,2.2024058246673017,1.9060440384090378,2.1215018013044533,1.4814791735807846,2.4448892119614696,2.532876234936057,1.4490873655899352,2.537176881267933,1.2150269088869934,2.1897433699434767,2.5187188916677163,1.6741881893639055,2.268110940755389,2.563738065381315,2.0733557170650316,1.2776017788340255,2.5172387590182987,2.340997108163798,1.8667852307522899,1.5028786650822217,2.8152447585744804
polyclonal BF520,2.227498837939235,1.7369035676865745,2.3768619745729676,2.3251710500243705,2.2282325988609992,2.283954908808607,2.37849991523897,1.9512514770820013,2.5856856208753736,1.7701372795366,2.3862653229659,1.9767002652631678,1.841237809343232,1.9291294924960574,2.3991332207470295,2.100625718859737,2.5306144928229393,2.201292663767746,1.8471890151187385,2.7848711116073597,2.3020981645006904,2.2786813902393717,2.2500065284715554,2.016701481626712,2.2294682741354004,1.7577408026631136,2.181003899042876,2.3577060635631057,2.109749848610595,2.071961146014475,2.10235397008074,2.1585420579770314,2.3932563564031666,2.154864913897379,2.1639739151145587,2.7842370098572102,1.8413097894294,2.1100318754988883,1.8241904161220823,2.441222182336963,1.9130751682357006,1.9229495687089344,1.6975052326320006,2.005561862538709,1.9875181626808762,2.1704043822674635,1.7232267695797883,2.241134316462856,1.8882719184495378,3.571177419826988,2.5215609174589098,1.7358850289276258,1.9760540979581556,1.7291821111946508,2.0929396842494654,2.3492482679220377,2.017218091122703,2.553999546883227,1.6633059069719816,1.9947735983184012,2.273528070763426,1.546691751818655,1.9881864234873137,2.09964179504783,2.002058137779649,1.4828804477460986,2.2514450589530384,2.0732541156380337,2.060110453099785,1.6974651314056597,2.735250069623171
